Erklæring	Uenig	Enig	Volt Holdning	Volt_Explanation
Europa har brug for en fælles asyl- og migrationspolitik	Europas kulturer er for forskellige til at have fælles migrationspolitik. EU skal lukke folk ude, der ikke kommer til EU lovligt og hvis folk vil søge asyl må de gøre det i deres hjemland.	Enkelte medlemslande skal ikke stå alene med ansvaret, mens andre lande nægter at hjælpe eller betaler sig fra at involvere sig. Fælles grænser betyder også at vi skal være mere solidariske i den værdige og retsmæssige håndtering af vores fælles grænser. EUs værdier inkluderer respekt for menneskerettigheder og retsstaten - fælles migrationspolitik betyder fælles for asyl-ansøgere og migranter.	4	Volt mener, at EU har brug for en omfattende og sammenhængende migrationspolitik, der sikrer beskyttelse af menneskerettigheder og respekterer menneskelig værdighed. Dette bør omfatte langsigtede strategier til at tackle årsagerne til migration, sikre og lovlige kanaler for migration og et effektivt fælles europæisk asylsystem.   For at skabe et lovligt migrationsystem er det afgørende at udvikle et system af europæiske humanitære korridorer, der tillader bedre koordinering af medlemsstaternes handlinger.  Volt mener endvidere, at udviklingen af fælles visa-muligheder vil give folk mulighed for at komme til EU lovligt, i stedet for at bruge menneskesmuglere.  Volt støtter også udviklingen af en fuldt funktionsdygtig europæisk grænsebeskyttelsesagentur, der ikke er Frontex.  Et grænsebeskyttelsesagentur, der giver ordentlig og human modtagelse af asylansøgere, opretholder europæiske værdier og sikrer sikkerheden for europæiske beboere. Dette system vil opretholde integriteten af EU's grænser, bekæmpe grænseoverskridende kriminalitet, skabe et lovligt migrationsystem og sikre, at menneskerettighederne overholdes i hele dets jurisdiktion.  8 juni blev Europas indenrigsministre enige om en aftale, der skal sikre hurtigere behandling af asylansøgere og mere solidaritet i Europa. Hvert år kommer illegale asylansøgere og migranter til Europa og medlemsstater har haft svært ved at blive enige om en fælles holdning til asyl- og migrationsspørgsmålet. Det har ført til umenneskelige forhold for mennesker i Italien og Grækenland, det har ført til illegale migranter flere steder i Europa. Europa har fælles grænser og åbne interne grænser. EU har brug for at håndtere migration bedre end vi har gjort tidligere. 
Danmark skal støtte op om kollektive overenskomster i Europa	En politisk garanteret mindsteløn sikrer at politikerne holdes ansvarlige for borgernes levevis og lønninger. Fagforeninger kan sætte barrierer for den frie forhandling. 	Man har dokumenteret at kollektive overenskomster giver de bedste arbejdsforhold for ansatte. Kollektive overenskomster er den mest udbredte organiseringsform i Danmark og “den danske model” har fastsatte overenskomstforhandlinger blandt arbejdsgivere og ansatte. 	4	Volt går ind for kollektive overenskomster fordi de sikrer de bedste vilkår for ansatte og sikrer fair og ligebyrdige forhold på arbejdspladsen. Mindstelønsdirektivet styrker kollektive overenskomster I hele Europa og det mener Volt er godt.  Volt mener, at kollektiv forhandling er et vigtigt redskab til at afbalancere forhandlingsstyrken mellem arbejdere og arbejdsgivere. Det bør være tilgængeligt for alle arbejdere, herunder dem i ikke-standardiserede former for beskæftigelse såsom gig-arbejdere.  EU har fremsat Mindstelønsdirektiv, der går ud på at borgere i EU skal være dækket af en kollektiv overenskoms:  “Et af målene med direktivet er at øge antallet af arbejdstagere, der er dækket af kollektive forhandlinger om lønfastsættelse. For at nå dette mål bør landene fremme arbejdsmarkedets parters evne til at deltage i kollektive forhandlinger.” https://www.consilium.europa.eu/en/policies/adequate-minimum-wages/   I lande, hvis organiseringsgrad er mindre end 80% (i Danmark er 76% af ansatte dækket af en kollektiv overenskomst) skal borgere kunne regne med en fair og levebar løn, der for eksempel kan være en mindsteløn. 21 af EUs 27 medlemslande har en mindsteløn. 
Danmark skal fjerne Euro-forbeholdet	På nuværende tidspunkt mangler ECB et finanspolitisk mandat, så det giver ikke mening for Danmark at opgive sin finanspolitiske kapacitet før Euroen har lige så mange evner som den danske krone.	Den danske krone er i forvejen låst fast til Euroen og derfor giver det mening at vi overgår til Euroen. Nogle vil sige, at mandatet for den Europæiske Centralbank skal styrkes før Danmark skal overgå til Euroen. 	3	Dette forbehold afholder Danmark i at anvende Euroen selvom den danske krone er i fastkurs til Euroen. Siden 1982 har Danmark haft en fast valutapolitik overfor først den tyske D-mark og derefter Euroen.  Der er fortsat tale om reformering af mandatet, som den europæiske centralbank har. Idag har den Europæiske Centralbank, ECB, kun ret til at sikre EUroens valutakurs og er derfor ikke engageret i finanspolitik, kun pengepolitik. https://www.eu.dk/da/danmark-i-eu/de-danske-forbehold#835B57CB53104C268D33AF8E910A6E72   Volt går ind for at reformere Den Europæiske Centralbank og styrke Euroen så det bliver en fuld valuta mad kapacitet som den amerikanske dollar, britiske pund og japanske yen.  Når ECB er reformeret mener vi at Danmark skal støde til den europæiske fællesvaluta.
Valgalderen skal sænkes til 16	De unge er ikke klar til at stemme og skal ikke bebyrdes med svære beslutninger.	Den kriminelle lavalder er 15 år. NÅr man kan komme i fængsel skal man også have lov til at stemme!	4	Volt foreslår at sætte den europæiske stemmealder til 16 for at give mere opmærksomhed til ungdommens stemme ved Europa-Parlamentsvalgene. Flere steder i Europa har 16-årige allerede valgret og Volt ønsker flere stemmer i demokratiet!  Demografien gør, at der proportionelt er flere ældre end unge. I Danmark udgør 18-30-årige kun 16% af den samlede befolkning så en sænket valgalder kan give en forandring både i fokusområder i valgkampe og adgang til demokratiet. Reformkommissionen har også argumenteret for at valgalderen skal sænkes til 16 år (Https://www.altinget.dk/artikel/demokratikommission-anbefaler-forsoeg-med-stemmeret-til-16-aarige )
Europa skal have en fælleseuropæisk udenrigs- og sikkerhedspolitik	ALle lande skal have ret til at kunne handle uafhængigt. Vi skal handle sammen, når det giver mening og vi skal handle alne, når det giver mening.	Når EU alligevel har en fælles handelspolitik og en fælles forsvarpolitik, så giver det mening også at have en mere koordineret udenrigspolitik. 	4	Volt vil styrke EUs evne til at reagere kollektivt på sikkerhedstrusler. Vi går ind for øget forsvarssamarbejde og udvikling af en fælles forsvarspolitik blandt EUs medlemslande. Volt arbejder for en styrkelse af Tjenesten for EU's udenrigstjeneste (EEAS) og gøre denne til EU's diplomatiske arm. Volt går ind for en forenet og sammenhængende EU-udenrigspolitik.Vi mener, at en fælles tilgang til internationale spørgsmål vil gøre EU mere indflydelsesrig på den globale scene og sikre, at medlemslandene taler med én stemme, for sammen står vi stærkere! Menneskerettigheder, demokrati og retsstatsprincippet skal være kernen i EU's interaktion med andre lande og bør styre EU's beslutningsprocesser.  Idag har EU ikke en udenrigsminister. Det er EUs Kommissionspræsident, Ursula Von Der Leyen, der repræsenterer EU udadtil, men også Josep Borrell, der er KOmmissær med ansvar for at koordinere EU's optræden udadtil har en udenrigspolitisk rolle. Dertil mødes EUs udenrigsministre for at koordinere, mens nationale ledere også nogle gange tager sagerne i egen hånd, når for eksempel den franske Emmannuel Macron rejser til Kina for at tale om Ukraine. Det kan være svært at vide, hvem der repræsenterer EU udadtil.
Danmark skal bakke op for nye europæiske traktatændringer	Vi har ikke brug for mere EU. Traktatændringer kan skabe for meget forandring.	Mange af ideerne, som kom ud af Europakonferencen - Conference on the Future of Europe - kræver traktatændringer for at blive implementeret. EU kan ikke udvikle sig som samfund hvis ikke vi kan tale om traktakændringer ligesom vi taler om lovændringer. https://carnegieeurope.eu/2022/06/16/does-eu-need-treaty-change-pub-87330 	4	Traktakændringer er med til at forandre Europa og vi har brug for at EUs regelsæt er opdateret. Mange af de ting som borgere i EU gerne vil se ske er forhindret fordi EUs traktater ikke er opdateret. For eksempel kræver det en traktatændring at “standse rejsecirkusset”, hvor Europaparlamentet rejser til Strasbourg hver måned.   Den sidste omfattende traktatreform stammer fra Lissabontraktaten, som trådte i kraft i 2009.  Volt arbejder for ændringer af EU-traktaterne for at yderligere integrere Europa og gøre det mere demokratisk og effektivt. Vi støtter en bevægelse mod et føderalt system og oprettelsen af en europæisk forfatning, der erstatter eksisterende EU-traktater, samtidig med at vi respekterer national suverænitet. Den nye forfatning bør detaljere de grundlæggende rettigheder og ansvar for EU-borgere og institutionelle arrangementer.
Danmark skal styrke udvikling af atomkraft	Der er mange, der stadig ikke føler sig overbevist om atomkraft. Læs mere om atomkraft hos Our World in Data eller følg foreninger som Atomkraft Ja Tak, der leverer faktabaseret information om atomkraft. 	Vi har brug for stabile energikilder, som ikke er fossile brændsler. Atomkraft bruges overalt i Europa i forvejen og Danmark skal være med. Vind og sol er ikke stabile energikilder og vi kan ikke blive ved med at brænde affald og biomasse.	4	Volt ønsker et CO2 neutralt Europa og mener at atomkraft er en essentiel del af løsningen. Atomkraft har tidligere været et kontroversielt emne i Volt men intern debat har løst uoverensstemmelserne og idag er hele Volt - også i Tyskland - indstillet på at atomkraft er en del af vores grønne energifremtid.  Atomkraft er en stabil energikilde i energimiksen, som ikke producerer CO2 under energiproduktion. Atomkraft produceres ved at uran placeres i en reaktor hvis processer driver en turbine der leverer strøm. Fordi atomkraft ikke producerer CO2 under energiproduktion er det betragtet som en af de sikreste energikilder da der ikke er luftforurening forbundet med energi fra atomkraft. https://ourworldindata.org/nuclear-energy 
Danmark skal fjerne grænsekontrollen	At holde styr på, hvem der kommer ind i Danmark er vigtigere, end at Danmark overholder EUs Schengen-samarbejde om åbne grænser. 	Grænsekontrollen er et populistisk greb, der ikke virker, det koster mange milliarder og risikerer Danmarks rolle i Schengen-samarbejde. 	4	Den danske grænsekontrol er ulovlig og flere medier har gang på gang afdækket hvor lidt effekt den har. Vi skal samarbejde med vores naboer om at bekæmpe kriminalitet, men det sker ikke ved at opretholde grænsekontrollen. https://www.information.dk/indland/2023/02/tyske-jurister-danmarks-graensekontrol-ulovlig 
Det er en god ide at styrke en fælleseuropæisk sundhedssektor	Vi skal ikke sende patienter rundt omkring i hele Europa. Det skal være muligt at blive behandlet lokalt. 	Idag er sundhedsområdet et nationalt ansvarsområde i Europa. Efter COVID19 er der mange, der mener, at det giver mening at samle flere ting på europæisk plan for at give patienter og personale flere muligheder for behandling.	3	Det giver mening at samarbejde mere om behandlingsformer og dele viden og forskning uden at gå på kompromis med nærbehandling. Digitale løsninger og mere samarbejde kan hjælpe med at levere løsninger hurtigere og det vil vi arbejde for. Volt tror på en universel og overkommelig sundhedspleje for alle europæiske borgere, hvor høj kvalitet sundhedspleje er garanteret. Vi foreslår, at den optimale offentlig-private koordination og opgavefordeling bør bestemmes på en land-for-land og sag-for-sag basis. Vi sigter også mod at investere i e-sundhedsprogrammer for at forbedre adgangen til sundhedspleje og fremme effektivitet, samtidig med at vi håndhæver evidensbaserede retningslinjer og introducerer yderligere harmonisering af recept og brug af medicin på tværs af lande gennem Det Europæiske Lægemiddelagentu
Det skal være muligt at modtage aktiv dødshjælp	Der er for mange etiske dilemmaer og de er slet ikke afklaret endnu.	Det skal være muligt at bestemme under hvilke omstændigheder, man ikke længere vil leve.	4	I Volt tror vi på retten til en værdig død. Alle mennesker har lov til at bestemme hvordan livet skal ende, så længe andre personer ikke bliver unødigt påvirket af dette. Derfor støtter Volt passiv dødshjælp i Danmark. Men vi i Volt tror også på, at der er situationer hvor passiv dødshjælp ikke er tilstrækkeligt. Derfor støtter vi assisteret dødshjælp, for dem der har konstante og ubærlige fysiske og/eller mentale smerter. For at kunne få assisteret dødshjælp mener vi, at flere kriterier skal mødes. 
