Question	Uenig	Enig	Volt_Position
Danmark skal bruge flere penge på at styrke tog- og busdrift frem for at bygge nye motorveje	Det er dyrt for statskassen at opretholde driften af busser og tog. Et godt vejnet er vigtigt for erhvervslivet og skaber arbejdspladser	Den kollektive trafik bør være billig og tilgængelig for så mange som muligt, desuden er biltrafik en af de helt store klimasyndere	3
Der skal indføres en særlig skat på de allerhøjeste indkomster	Det danske samfund er et af de mest lige samfund i verden. I forvejen bidrager de rigeste mest til fælleskassen målt i kroner og øre. En millionærskat kan betyde, at flere flytter deres formuer til udlandet, og dermed kan Danmark gå glip af vigtige investeringer og skatteindtægter	Historisk rammer kriser de fattigste hårdest. En såkaldt millionærskat vil mindske uligheden i samfundet og styrke sammenhængskraften. Den kan samtidig bidrage til statskassen i en tid, hvor velfærdsudgifterne er stigende	3
Kriminalitet begået i udsatte boligområder skal straffes særligt hårdt	Det er urimeligt, at den samme forbrydelse skal straffes forskelligt i forskellige dele af landet	Den mest effektive måde at stoppe bandekriminalitet er at indføre højere straffe i de områder, hvor banderne huserer	3
På sigt skal Danmark meldes ud af EU	Danmark er bedst tjent med at være en del af EU-samarbejdet. Det har både økonomisk og politisk betydning at være med, og det styrker Danmarks placering globalt at være en del af verdens største handelsblok	Så længe Danmark er medlem af EU, kan flertallet på Christiansborg ikke frit bestemme, hvilke love og regler, der skal gælde i Danmark. Politisk selvbestemmelse er vigtigere end at være med i et internationalt fællesskab	3
Det er fornuftigt, at Danmark i de kommende år bruger markant flere penge på forsvaret	Vi er medlemmer af Nato og har i forvejen et stort forsvar. Det er mere fornuftigt at anvende pengene på bedre skoler, børnepasning og ældrepleje	Ruslands angreb på Ukraine har ændret alting og øget truslen mod Danmark og Europa. Det er derfor vigtigt, at vi har et stærkt forsvar	3
Det er okay, at den økonomiske ulighed stiger, så længe danskerne generelt bliver rigere	Større økonomisk ulighed vil skævvride samfundet og skabe større forskel mellem rig og fattig. De dårligst stillede vil miste muligheder, og sammenhængskraften i samfundet vil blive svækket	Økonomisk ulighed afspejler belønningen den enkelte kan opnå ved at gøre en ekstra indsats. Det er med til at skabe dynamik og udvikling i samfundet, og kan på den måde sikre størst mulig velstand til alle	3
Forældres indkomst skal være et af kriterierne for fordeling af elever i gymnasiet	De unge risikerer at miste pladsen på deres nærmeste eller foretrukne gymnasium alene på grund af forældres indkomst	Det er vigtigt at vores gymnasier består af unge fra alle grupper af samfundet. Med fordeling efter indkomst sikres blandede gymnasier	3
Det skal være muligt at tjene penge på at drive private børnehaver og vuggestuer	Skattekroner tiltænkt velfærd skal ikke kunne blive trukket ud som profit og ende i lommen på en privat dagtilbudsejer	Der er brug for en bred vifte af forskellige dagtilbud -- særligt i yderområderne. Hvis man ikke må tjene penge på at drive institution, får vi et dårligere udbud	3
Der skal indføres skat på fortjenesten ved salg af bolig	Det er mere sikkert for alle, at boligejere betaler ejendomsskatter løbende som nu. Der er ingen garanti for, at ens bolig stiger i værdi	Det er kun rimeligt, at man betaler skat af store gevinster fra boligsalg, og det kan også hjælpe med at holde boligpriserne lidt nede	3
Det er en god idé, at dagpengesatsen for nyuddannede er sat ned	Som nyuddannet er man ofte ved at etablere sig og har behov for en vis indkomst, mens man leder efter første job. Lavere sats udvander opbakningen til det kollektive dagpengesystem	De fleste nyuddannede er yngre mennesker uden store økonomiske forpligtelser. En lavere dagpengesats for nyuddannede vil få flere i job hurtigere	3
Transkønnede under 18 år skal have mulighed for juridisk kønsskifte (skifte cpr-nummer)	Unge skal have ro til at danne deres egen identitet, så der er ingen grund til, at man kan skifte juridisk køn, før man fylder 18 og er myndig	Det skal være op til det enkelte menneske i samråd med familien at definere eget køn. Derfor skal børn i lighed med voksne have lov at skifte det sidste ciffer i CPR-registret	3
Pensionsalderen skal fortsætte med at stige i takt med, at levealderen stiger	Pensionsalderen kan ikke vokse i det uendelige. I 2050 vil den være på 72 år, hvis vi fortsætter som nu, og det er ikke rimeligt, at danskerne skal have verdens højeste pensionsalder	Det er afgørende for dansk økonomi, at pensionsalderen stiger i takt med den stigende levealder, når vi lever længere og bliver flere ældre	3
Danmark skal undersøge muligheden for at udvikle A-kraft som energikilde herhjemme	Atomkraft indebærer risiko for radioaktive udslip, og efterlader store mængder radioaktivt affald, der skal håndteres	Atomkraft er en klimavenlig og stabil kilde til energi, som vil gøre det nemmere at udfase kul og gas	3
Der bør dannes en regering hen over midten	En regering hen over midten risikerer at overhøre vigtige stemmer på begge fløje. Det er sundt, at magten af og til skifter mellem de to fløje	En regering hen over midten kan lettere sikre brede aftaler om vigtige reformer, og samtidig holdes de mest ekstreme stemmer uden for indflydelse	3
Der skal afsættes penge til at hjælpe kontanthjælpsmodtagere, når priserne stiger	Hvis der uddeles hjælpechecks til flere og flere samfundsgrupper i en længere periode, kan det ende med at have den omvendte effekt og forværre inflationen	Kontanthjælpsmodtagere er en af de befolkningsgrupper, der rammes hårdest af prisstigningerne, fordi deres satser stiger meget langsomt	3
Der skal indføres kvoter, der sikrer mindst 30 procent kvinder i virksomheders bestyrelser	Virksomhederne går efter de bedst kvalificerede, uanset køn. Både kvinder og mænd foretrækker at blive valgt på grund af deres kvalifikationer og ikke deres køn	Virksomhederne bør afspejle samfundet. Både Norge og flere EU-lande har allerede lovkrav om kvinder i ledelsen. Det går for langsomt med at rette op på skævheden i bestyrelserne	3
Der skal være permanent grænsekontrol mellem Danmark og Tyskland	Grænsekontrollen koster milliarder, skaber kødannelse og generer den fri bevægelighed i grænselandet i et omfang, der ikke står mål med dens resultater. Gøres den permanent, kan Danmark bliver smidt ud af EU's Schengen-samarbejde om åbne grænser	Det er vigtigt, at der er styr på, hvem der kommer ind i Danmark. Det gælder både i forhold til organiseret kriminalitet og til indvandring. Det er vigtigere, end at Danmark er med i EU's Schengen-samarbejde om åbne grænser	3
Man skal automatisk blive organdonor, når man fylder 18 år, medmindre man aktivt framelder sig	Ens indre organer er ikke fælleseje, og anvendelsen af dem skal ikke styres af staten per automatik. De pårørende må have det sidste ord	Der er stor mangel på organer til transplantation, og det er en al for voldsom beslutning for en familie at stå med, hvis en pårørende er erklæret hjernedød	3
Der skal udflyttes flere uddannelsespladser fra de store byer	Der er i forvejen ledige pladser i mange byer, og man risikerer, at færre unge tager de ønskede uddannelser, fordi de hellere vil bo i en stor by	Levende studiemiljøer kan sikre, at unge bliver boende eller flytter til, så mindre byer ikke affolkes med tiden og bliver glemt til fordel for de store byer	3
Asylansøgere bør sendes til et land uden for EU - f.eks. Rwanda - mens deres ansøgning behandles	Danmark bør selv tage ansvar for de asylansøgere, der kommer til den danske grænse, og det er svært for Danmark at sikre asylansøgere ordentlige vilkår i et land uden for Europa	Det nuværende asylsystem gavner kun menneskesmuglere, og den mest effektive måde at stoppe strømmen af asylansøgere til Danmark er at genbosætte asylansøgere i et land uden for Europa	3
Den såkaldte Arne-pension skal afskaffes	Det er kun retfærdigt, at danskere med flest aktive år på arbejdsmarkedet har en ret til at trække sig tidligere tilbage, så de kan få nogle gode år som pensionister uden at være helt nedslidte	Arne-pensionen er dyr og ikke målrettet de mest nedslidte. I stedet bør vi se på ordninger for danskere, der reelt er nedslidte	3
Lønnen til ansatte i klassiske velfærdsfag som sygeplejersker og pædagoger bør sættes markant op	Hvis lønnen til offentligt ansatte stiger, er der færre penge til velfærd, og det kan føre til lønpres i den private sektor til skade for virksomhedernes konkurrenceevne	Offentligt ansatte som sygeplejersker og pædagoger løser en vigtig samfundsmæssig opgave, som bør belønnes bedre. Desuden kan højere løn hjælpe på manglen på arbejdskraft	3
Danmark bør indføre CO2-afgift på flyrejser	En skat på flybilletten vil ramme danskerne med de lave indtægter, som får sværere ved at få råd til flyrejser	Flyrejser er en af de mest CO2-belastende rejseformer og bør beskattes ligesom alt muligt andet forurening	3
Det er en god idé med naturnationalparker, hvor der bliver udsat store dyr, som lever vildt	Det er bekymrende for dyrevelfærden, fordi Folketinget har lempet på tilsynet med de dyr, der lever i naturnationalparkerne. Og så forhindrer indhegninger, at arealerne kan anvendes til friluftsaktivitet som hidtil	Natur og biodiversitet er i krise både i Danmark og globalt, og naturnationalparkerne er vigtige til at sikre mere plads til naturen uden skovbrug og landbrug. Udsatte dyr -- såsom heste og kvæg -- forbedrer vilkårene for en række arter	3
Unge op til 24 år skal have ret til gratis offentlig psykologhjælp uden lægehenvisning	Gratis psykologhjælp uden henvisning risikerer at øge efterspørgslen markant, medføre store udgifter og gøre det sværere at få en tid for de unge, der har størst behov	Mange unge mistrives, og de skal have mulighed for at gå til psykolog for at forebygge, at det udvikler sig til egentlig psykisk sygdom, også uden at gå til egen læge først	3
